episode,reward,length,success,total_steps
444,-3270.6184,500,False,213992
445,-4121.91,500,False,214492
446,-4776.2227,500,False,214992
,,,,215040
447,-3958.1802,500,False,215540
448,-4248.8413,500,False,216040
449,-2811.7405,500,False,216540
450,-3791.32,500,False,217040
,,,,217088
451,-4555.6123,500,False,217588
452,-5262.6387,500,False,218088
453,-2632.0083,500,False,218588
454,-3452.4229,500,False,219088
,,,,219136
455,-2858.5723,500,False,219636
456,-5198.7217,500,False,220136
457,-3666.3435,500,False,220636
458,-3823.9692,500,False,221136
,,,,221184
459,-3294.022,500,False,221684
460,-3475.6016,500,False,222184
461,-2621.2107,500,False,222684
462,-4250.6787,500,False,223184
,,,,223232
463,-3591.2095,500,False,223732
464,-4165.4736,500,False,224232
465,-2882.5203,500,False,224732
466,-4195.2803,500,False,225232
,,,,225280
467,-5749.109,500,False,225780
468,-4657.0117,500,False,226280
469,-2431.8198,500,False,226780
470,-4352.911,500,False,227280
,,,,227328
471,-4114.35,500,False,227828
472,-3342.7148,500,False,228328
473,-4441.8833,500,False,228828
474,-6192.714,500,False,229328
,,,,229376
475,-4442.1475,500,False,229876
476,-4185.36,500,False,230376
477,100.0,1,True,230377
